SP,First,Last,Height,Weight,Bench Press,Squat,Clean,Standing Long Jump,vertical jump,30m time
22.28,Sergei,Smirnov,1.89,139,260,385,222.5,3.01,82,
23.06,Ulf,Timmerman,1.93,119,250,365,220,3.4,92,
16.18,Erik,Vreumingen,1.93,124,240,230,145,2.95,73,3.97
21.61,kevin,akins,1.96,145,238,376,191,,79,
22.75,Werner,Gunthoer,1.98,126,235,345,205,3.4,90,
19.7,brad,snyder,1.83,99,230,342,182,3.3,99,
20.56,Art,McDermott,1.83,112,227,283,175,,,
19.18,Kent,Pagel,1.98,134,225,299,190,3.33,66,4.3
19.07,Jason,Tunks,2.01,118,220,285,145,3.3,76,3.5
19.69,Dave,Wilson,1.97,119,218,249,188,2.9,71,3.73
17.68,jason,gray,2.03,143,211,302,186,,,
16.85,Niklas,Trennéus,1.88,120,209,222,170,,,
17.28,Kimmo,Paganus,1.88,118,206,279,127,,,
18.06,Howard,Hausauer,2.01,118,202,288,134,3.2,71,3.5
17,sergei,Gen,1.88,119,202,279,152,2.74,69,
19.45,Ercegovac,Stevimir,1.85,130,200,280,110,3.1,,
16.48,Glenn,Klein,1.88,116,197,293,150,,84,3.02
19.96,Jim,Camp,1.91,120,195,270,170,3.48,88,3.65
17.6,alex,tammert,1.83,118,195,270,150,,71,3.5
18.19,JASON,TUNKS,2.01,119,193,270,136,3.2,71,3.6
19.98,Henrik,Wennberg,1.88,113,184,311,150,,,
18.21,Michael,Fleisch,1.88,127,181,256,150,,71,
19.2,Cor,Booysen,1.91,115,180,230,155,3.07,82,3.64
17.1,Allen,Schulte,1.98,130,180,240,140,3.05,,3.75
16.79,Dave,Forsberg,1.93,114,178,195,135,2.84,59,3.6
16.15,Vince,Reh,1.75,91,177,243,138,,,
18.06,John,Wirtz,1.75,109,175,295,125,2.9,71,
16.32,Mike,Bennett,1.83,100,175,272,143,,97,3.4
18.9,Lee,Newman,1.85,119,172,235,142,2.9,74,3.41
17.45,Jay,Harvard,2.01,119,170,260,160,3.1,81,3.75
17.19,BLERIM,POLISI,1.88,110,170,230,160,3.43,65,3.65
16.81,Mattias,Eriksson,1.88,105,170,180,160,3.1,75,
16.15,Ted,Swavely,1.8,120,168,261,116,,,
17.91,Jeff,Kremer,1.91,100,166,206,166,,,
20.19,Andrew,Bloom,1.85,116,159,327,204,3.2,94,
16.33,Aaron,Larson,1.91,107,159,184,129,2.87,64,2.95
16.23,marco,verni,1.88,114,155,100,130,3,67,3.7
17.2,Scott,Reida,1.96,111,154,277,143,2.74,71,
16.36,Mike,Hennessey,1.88,107,147,232,129,3.4,72,4.3
18,Kevin,McMahon,1.85,100,140,230,160,3.35,,3.5
17.33,ian,winchester,1.96,104,134,181,145,2.41,75,
16.48,John,Gallagher,1.91,104,118,175,95,2.13,58,
